Date,Exercise,Type,Exercise Calories,Exercise Minutes,Sets,Reps Per Set,Kilograms,Steps,Note
2020-04-01,Running,Cardio,836.0,71,,,,,
2020-04-02,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-04-02,Running,Cardio,444.0,33,,,,,
2020-04-03,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-04-03,Running,Cardio,421.0,32,,,,,
2020-04-04,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-04-04,Running,Cardio,447.0,33,,,,,
2020-04-05,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-04-05,Running,Cardio,476.0,34,,,,,
2020-04-06,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-04-06,Running,Cardio,435.0,34,,,,,
2020-04-07,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-04-07,Running,Cardio,478.0,35,,,,,
2020-04-08,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-04-08,Running,Cardio,447.0,33,,,,,
2020-04-09,Running,Cardio,500.0,38,,,,,
2020-04-09,Running,Cardio,138.0,38,,,,,
2020-04-10,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-04-10,Running,Cardio,451.0,34,,,,,
2020-04-11,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-04-11,Running,Cardio,540.0,41,,,,,
2020-04-14,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-04-14,Running,Cardio,480.0,36,,,,,
2020-04-15,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-04-15,Running,Cardio,419.0,33,,,,,
2020-04-16,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-04-16,Running,Cardio,440.0,33,,,,,
2020-04-17,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-04-17,Running,Cardio,529.0,42,,,,,
2020-04-18,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
