Date,Meal,Time,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron,Note
2020-04-19,Lunch,,400.0,13.0,2.3,7.8,2.4,0.0,0.0,700.0,700.0,46.1,9.1,1.1,29.0,23.0,75.0,33.0,57.0,
2020-04-19,Snacks,,101.4,1.8,0.3,0.0,0.0,0.0,0.0,4.8,116.1,18.5,0.5,18.5,3.3,0.0,0.0,19.7,0.0,
2020-04-20,Breakfast,,874.9,51.3,7.4,0.7,4.9,0.0,0.0,15.1,930.1,63.2,8.4,16.2,30.9,0.0,67.5,48.1,9.0,
2020-04-20,Dinner,,679.2,28.2,5.3,8.2,4.1,0.0,0.0,1683.3,318.3,86.1,19.9,12.4,34.2,69.0,24.0,8.4,4.7,
2020-04-20,Lunch,,400.0,13.0,2.3,7.8,2.4,0.0,0.0,700.0,700.0,46.1,9.1,1.1,29.0,23.0,75.0,33.0,57.0,
2020-04-21,Breakfast,,400.0,13.0,2.3,7.8,2.4,0.0,0.0,700.0,700.0,46.1,9.1,1.1,29.0,23.0,75.0,33.0,57.0,
2020-04-21,Dinner,,1242.0,65.5,31.5,0.0,0.0,0.0,0.0,980.4,2060.0,117.0,9.5,2.5,50.3,0.0,0.0,16.0,40.0,
2020-04-21,Lunch,,400.0,13.0,2.3,7.7,2.4,0.0,0.0,0.7,0.0,45.0,7.0,0.9,29.0,23.0,75.0,33.0,57.0,
2020-04-22,Breakfast,,400.0,13.0,2.3,7.8,2.4,0.0,0.0,700.0,700.0,46.1,9.1,1.1,29.0,23.0,75.0,33.0,57.0,
2020-04-22,Dinner,,660.2,12.2,2.7,1.5,3.3,0.0,15.0,656.0,430.0,101.4,9.2,23.0,36.8,26.0,75.0,17.2,19.0,
2020-04-22,Lunch,,501.4,14.8,2.6,7.7,2.4,0.0,0.0,5.5,116.1,63.5,7.5,19.4,32.3,23.0,75.0,52.7,57.0,
2020-04-28,Lunch,,501.4,14.8,2.6,7.8,2.4,0.0,0.0,704.8,816.1,64.6,9.6,19.6,32.3,23.0,75.0,52.7,57.0,
2020-05-05,Breakfast,,400.0,13.0,2.3,7.8,2.4,0.0,0.0,700.0,700.0,46.1,9.1,1.1,29.0,23.0,75.0,33.0,57.0,
2020-05-05,Dinner,,1255.0,74.4,5.0,0.0,0.0,0.0,0.0,1040.0,746.0,109.5,16.3,8.4,30.9,20.0,20.0,51.0,26.0,
2020-05-05,Lunch,,360.0,10.0,3.0,0.0,0.0,0.0,20.0,300.0,0.0,58.0,2.0,22.0,6.0,0.0,0.0,0.0,16.0,
2020-05-07,Breakfast,,400.0,13.0,2.3,7.8,2.4,0.0,0.0,700.0,700.0,46.1,9.1,1.1,29.0,23.0,75.0,33.0,57.0,
2020-05-07,Lunch,,400.0,13.0,2.5,7.0,2.5,0.2,0.2,0.0,0.0,45.0,8.0,1.0,29.0,0.0,0.0,0.0,0.0,
2020-05-08,Breakfast,,747.0,48.2,11.0,5.3,5.6,0.0,0.0,585.7,0.0,62.7,8.5,3.8,20.5,0.0,0.0,0.0,3.0,
2020-05-08,Dinner,,780.3,31.3,5.0,6.3,13.1,0.0,0.0,606.0,0.0,104.6,5.8,18.3,19.5,0.0,0.0,0.0,0.0,
2020-05-08,Lunch,,274.6,5.3,1.6,0.1,0.0,0.0,10.0,151.8,194.7,54.1,5.4,29.9,3.5,5.5,8.4,10.9,8.2,
2020-05-15,Breakfast,,400.0,13.0,2.3,7.8,2.4,0.0,0.0,700.0,700.0,46.1,9.1,1.1,29.0,23.0,75.0,33.0,57.0,
