Date Submitted,Workout Date,Activity Type,Calories Burned (kCal),Distance (km),Workout Time (seconds),Avg Pace (min/km),Max Pace (min/km),Avg Speed (km/h),Max Speed (km/h),Avg Heart Rate,Steps,Notes,Source,Link
"April 12, 2025","April 12, 2025",Run,445,5.457961428480001,2287,6.98265877276704,1.1857191501630477,8.59270604544,50.60228152319999,0,6031,"Good, good time. Its easier when full on food the day before",Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8506062019
"April 11, 2025","April 11, 2025",Run,445,5.4475972531200005,2362,7.223626521116678,0.27584655611230413,8.3060657856,217.512497664,0,6209,"Good work mate, hot today",Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8504495557
"April 10, 2025","April 10, 2025",Run,446,5.4538093209600005,2364,7.220768213632386,5.517366082080648,8.309397127679999,10.874755837439999,0,6215,,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8502741145
"April 9, 2025","April 9, 2025",Run,427,5.463513665280001,2489,7.593155969140221,1.764321363238686,7.901862946559999,34.007369932799996,0,6515,,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8500874026
"April 8, 2025","April 8, 2025",Run,423,5.46507472896,2538,7.738370416766085,0.3685576234788833,7.753545803519999,162.79641100799998,0,6632,,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8498945668
"April 7, 2025","April 7, 2025",Run,431,5.4638033472,2449,7.472361409369284,1.117635508629603,8.029612673279999,53.68481902079999,0,6419,,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8497131862
"April 6, 2025","April 6, 2025",Run,451,5.48726758272,2365,7.183796627694265,0.3469276922771017,8.352093024,172.94654361599999,0,6221,,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8495409550
"April 5, 2025","April 5, 2025",Run,434,5.45379322752,2427,7.415505945279568,1.0169982303348446,8.09117008128,58.9971026304,0,6365,,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8493802381
"April 2, 2025","April 2, 2025",Run,433,5.46465629952,2441,7.44284627773801,0.3875280859778891,8.061413310719999,154.82742232319998,0,6400,,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8488441279
"April 1, 2025","April 1, 2025",Run,440,5.46768186624,2404,7.328203292770222,2.9122549312017814,8.1875376,20.602500019199997,0,6312,,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8486609122
"March 31, 2025","March 31, 2025",Run,428,5.463755066880001,2481,7.562708780720591,1.1637909607889922,7.933647490559999,51.5556569088,0,6496,Not bad at all.,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8484761221
"March 30, 2025","March 30, 2025",Run,420,5.464398804480001,2563,7.8123757257615525,0.6557516603038257,7.68012753024,91.49764377599999,0,6692,,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8483096641
"March 29, 2025","March 29, 2025",Run,436,5.48189237376,2437,7.408546587926509,0.39741348027519285,8.09875009152,150.97626213119997,0,6392,,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8481319939
"March 28, 2025","March 28, 2025",Run,430,5.47408705536,2476,7.536735464885071,0.7699472580132029,7.9609741516799994,77.9274942336,0,6485,,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8479717360
"March 27, 2025","March 27, 2025",Run,444,5.474280176640001,2392,7.281351904875526,0.13941953988705957,8.24019533568,430.35467904,0,6284,Easier when not too starved. Nice out today,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8477930101
"March 26, 2025","March 26, 2025",Run,443,5.482729232640001,2404,7.305523244253559,0.36897456354887453,8.21294914176,162.612945792,0,6313,"Good, its easier when you have more energy in your body, more food day before. Not saying you should always east much more, but just remmeber its going to be hard when on low calories",Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8476217572
"March 25, 2025","March 25, 2025",Run,327,5.547746730240001,3372,10.127169828203293,0.7449432812375726,5.92467118848,80.54283916799999,0,8635,,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8474012620
"March 24, 2025","March 24, 2025",Run,428,5.46998322816,2491,7.588184999602322,1.287015081921578,7.90704503424,46.619637926399996,0,6520,,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8473445173
"March 23, 2025","March 23, 2025",Run,417,5.44555338624,2569,7.860656267398393,0.19114931301200985,7.632941564159999,313.891281792,0,6704,,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8470649572
"March 22, 2025","March 22, 2025",Run,426,5.4676174924800005,2509,7.645599697765052,0.5682619750656168,7.847628053759999,105.5851974144,0,6563,"Good. Hard enegry wise but good. Got to take in the positives, beneficial aspects, were moving",Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8468902921
"March 21, 2025","March 21, 2025",Run,429,5.450655006720001,2458,7.512501988387815,0.3724784757019009,7.98670756224,161.082459648,0,6439,Good. Did it in morning this time. Enjoy tge country side,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8467021420
"March 20, 2025","March 20, 2025",Run,466,5.71481273088,2394,6.979738328163524,4.0137969259524375,8.59627878912,14.948440024319998,0,6313,Good and enjoyable. Dont tey to go to fast try to enjoy the view,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8466015691
"March 20, 2025","March 19, 2025",Run,312,5.035798310400001,2762,9.139935277976617,4.9268646106736655,6.564578549759999,12.17813135616,0,7124,"Bad, slight poor inflammation",Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8465939947
"March 10, 2025","March 10, 2025",Run,496,6.04110722688,2569,7.084750059651634,4.59769943529786,8.46891530496,13.04999346816,0,6765,,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8447648977
"March 9, 2025","March 9, 2025",Run,411,5.10039737856,2077,6.787672492642965,4.044231686948223,8.839547228159999,14.835930785279999,0,5492,,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8445890770
"March 9, 2025","March 8, 2025",Run,16,0.0028099950912000003,370,2194.5463493199713,0,0.027340501478399996,0,0,10,,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8445818563
"March 8, 2025","March 8, 2025",Run,414,5.39783633664,2542,7.848477392030541,1.5116656227630636,7.644786336,39.6914120064,0,6635,,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8443516621
"March 9, 2025","March 7, 2025",Run,45,0,265,0,0,0,0,0,0,,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8445818647
"March 8, 2025","March 7, 2025",Run,528,6.4632059712,2718,7.006208740952835,4.746014525172989,8.563850507519998,12.642185698559999,0,7165,,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8443466302
"March 6, 2025","March 6, 2025",Run,931,6.00111502848,21861,60.71194225721785,4.214481179909329,0.98827401024,14.236643266559998,0,52902,,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8441448871
"March 6, 2025","March 5, 2025",Run,2552,7.00059811968,59922,142.65874791219278,4.709347411119064,0.42058435161599994,12.74062927104,0,144035,,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8440245478
"Feb. 24, 2025","Feb. 24, 2025",Run,417,5.1067703808000005,2216,7.230026644396723,4.539004712479122,8.298711083519999,13.218749279999997,0,5825,,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8423697277
